Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
"GNIP","GNIP/M/AT/01","VIENNA (HOHE WARTE)","AT","1103500","48.2486111111111","16.3563888888889","198","Precipitation collectors - unknown","Partner: Zentralanstalt für Meteorologie und Geodynamik, Vienna","196111","Water - Precipitation - unspecified (not reported)","1961-11-15","1961-11-01","1961-11-30","","-7.3","University of Copenhagen","-59.5","University of Copenhagen","101","","Technische Hochschule","61","4.4","7"
"GNIP","GNIP/M/AT/01","VIENNA (HOHE WARTE)","AT","1103500","48.2486111111111","16.3563888888889","198","Precipitation collectors - unknown","Partner: Zentralanstalt für Meteorologie und Geodynamik, Vienna","196112","Water - Precipitation - unspecified (not reported)","1961-12-15","1961-12-01","1961-12-31","","-11.6","University of Copenhagen","-82.4","University of Copenhagen","136","","Technische Hochschule","52","-1.1","4.3"
"GNIP","GNIP/M/AT/01","VIENNA (HOHE WARTE)","AT","1103500","48.2486111111111","16.3563888888889","198","Precipitation collectors - unknown","Partner: Zentralanstalt für Meteorologie und Geodynamik, Vienna","196201","Water - Precipitation - unspecified (not reported)","1962-01-15","1962-01-01","1962-01-31","","","","","","487","","","15","1.1","5.1"
"GNIP","GNIP/M/AT/01","VIENNA (HOHE WARTE)","AT","1103500","48.2486111111111","16.3563888888889","198","Precipitation collectors - unknown","Partner: Zentralanstalt für Meteorologie und Geodynamik, Vienna","196202","Water - Precipitation - unspecified (not reported)","1962-02-15","1962-02-01","1962-02-28","","-16.4","University of Copenhagen","-118.1","University of Copenhagen","1232","","International Atomic Energy Agency","39","0.9","4.6"
"GNIP","GNIP/M/AT/01","VIENNA (HOHE WARTE)","AT","1103500","48.2486111111111","16.3563888888889","198","Precipitation collectors - unknown","Partner: Zentralanstalt für Meteorologie und Geodynamik, Vienna","196203","Water - Precipitation - unspecified (not reported)","1962-03-15","1962-03-01","1962-03-31","","-15.3","University of Copenhagen","-118.1","University of Copenhagen","1078","","International Atomic Energy Agency","54","1.8","4.7"
"GNIP","GNIP/M/AT/01","VIENNA (HOHE WARTE)","AT","1103500","48.2486111111111","16.3563888888889","198","Precipitation collectors - unknown","Partner: Zentralanstalt für Meteorologie und Geodynamik, Vienna","196204","Water - Precipitation - unspecified (not reported)","1962-04-15","1962-04-01","1962-04-30","","-12.2","University of Copenhagen","-83.6","University of Copenhagen","1032","","International Atomic Energy Agency","64","11.5","7.8"
"GNIP","GNIP/M/AT/01","VIENNA (HOHE WARTE)","AT","1103500","48.2486111111111","16.3563888888889","198","Precipitation collectors - unknown","Partner: Zentralanstalt für Meteorologie und Geodynamik, Vienna","196205","Water - Precipitation - unspecified (not reported)","1962-05-15","1962-05-01","1962-05-31","","-6.3","University of Copenhagen","-57.6","University of Copenhagen","1210","","International Atomic Energy Agency","48","12.6","10.6"
"GNIP","GNIP/M/AT/01","VIENNA (HOHE WARTE)","AT","1103500","48.2486111111111","16.3563888888889","198","Precipitation collectors - unknown","Partner: Zentralanstalt für Meteorologie und Geodynamik, Vienna","196206","Water - Precipitation - unspecified (not reported)","1962-06-15","1962-06-01","1962-06-30","","-5","University of Copenhagen","-50.2","University of Copenhagen","990","","International Atomic Energy Agency","25","16.1","11.8"
"GNIP","GNIP/M/AT/01","VIENNA (HOHE WARTE)","AT","1103500","48.2486111111111","16.3563888888889","198","Precipitation collectors - unknown","Partner: Zentralanstalt für Meteorologie und Geodynamik, Vienna","196207","Water - Precipitation - unspecified (not reported)","1962-07-15","1962-07-01","1962-07-31","","-4.9","University of Copenhagen","-47.1","University of Copenhagen","1228","","International Atomic Energy Agency","52","18.3","13.6"
"GNIP","GNIP/M/AT/01","VIENNA (HOHE WARTE)","AT","1103500","48.2486111111111","16.3563888888889","198","Precipitation collectors - unknown","Partner: Zentralanstalt für Meteorologie und Geodynamik, Vienna","196208","Water - Precipitation - unspecified (not reported)","1962-08-15","1962-08-01","1962-08-31","","-4.5","University of Copenhagen","-33.5","University of Copenhagen","877","","International Atomic Energy Agency","26","20.7","14.6"
"GNIP","GNIP/M/AT/01","VIENNA (HOHE WARTE)","AT","1103500","48.2486111111111","16.3563888888889","198","Precipitation collectors - unknown","Partner: Zentralanstalt für Meteorologie und Geodynamik, Vienna","196209","Water - Precipitation - unspecified (not reported)","1962-09-15","1962-09-01","1962-09-30","","-6.1","University of Copenhagen","-45.9","University of Copenhagen","550","","International Atomic Energy Agency","25","14.4","11.6"
"GNIP","GNIP/M/AT/01","VIENNA (HOHE WARTE)","AT","1103500","48.2486111111111","16.3563888888889","198","Precipitation collectors - unknown","Partner: Zentralanstalt für Meteorologie und Geodynamik, Vienna","196210","Water - Precipitation - unspecified (not reported)","1962-10-15","1962-10-01","1962-10-31","","-11.8","University of Copenhagen","-83.6","University of Copenhagen","521","","International Atomic Energy Agency","49","10","9.5"
"GNIP","GNIP/M/AT/01","VIENNA (HOHE WARTE)","AT","1103500","48.2486111111111","16.3563888888889","198","Precipitation collectors - unknown","Partner: Zentralanstalt für Meteorologie und Geodynamik, Vienna","196211","Water - Precipitation - unspecified (not reported)","1962-11-15","1962-11-01","1962-11-30","","-14.5","University of Copenhagen","-98.4","University of Copenhagen","647","","International Atomic Energy Agency","101","3.9","6.9"
"GNIP","GNIP/M/AT/01","VIENNA (HOHE WARTE)","AT","1103500","48.2486111111111","16.3563888888889","198","Precipitation collectors - unknown","Partner: Zentralanstalt für Meteorologie und Geodynamik, Vienna","196212","Water - Precipitation - unspecified (not reported)","1962-12-15","1962-12-01","1962-12-31","","-15.6","University of Copenhagen","-112.1","University of Copenhagen","648","","International Atomic Energy Agency","42","-3.2","3.6"
