Parameter Category, Parameter,Location, Depth, Timestamp,Value,Unit, Data Source
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/7/14,11.891, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/8/14,7.25, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/9/14,7.342, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/10/14,11.233, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/11/14,10.29, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/12/14,10.635, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/13/14,13.058, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/14/14,9.983, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/15/14,9.291, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/16/14,12.064, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/17/14,12.943, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/18/14,9.935, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/19/14,9.248, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/20/14,12.404, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/21/14,12.712, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/22/14,12.171, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/23/14,11.248, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/24/14,13.558, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/25/14,14.713, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/26/14,14.6, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/27/14,11.137, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/28/14,11.891, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/29/14,15.135, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/30/14,16.696, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,7/1/14,15.052, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,7/2/14,14.73, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,7/3/14,15.325, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,7/4/14,14.7, degreeCelsius, EastRiver
